Type,Summary,Description,Epic,Priority,State,Assignee,Sprint,Start Date,End Date,Estimation,Tags,Story Points,Acceptance Criteria,Technical Notes,Dependencies
Task,S2-T034 Filtros y Búsqueda,"Agregar filtros por categoría y barra de búsqueda a ProductosList.",S2-HU08 Catálogo de Productos,High,To Do,Frontend Dev,Sprint 2,30/01/2026,31/01/2026,2h,frontend,0,Filtros funcionando,Actualizar API call con parámetros,S2-T033
Task,S2-T035 Paginación,"Implementar paginación en el catálogo de productos.",S2-HU08 Catálogo de Productos,Medium,To Do,Frontend Dev,Sprint 2,30/01/2026,31/01/2026,1.5h,frontend,0,Paginación funcional,Botones prev/next,S2-T033
User Story,S2-HU09 Detalle de Producto,"Como usuario, quiero ver el detalle completo de un producto y agregarlo al carrito.",S2-E08 Frontend Tienda,Critical,To Do,Frontend Dev,Sprint 2,30/01/2026,31/01/2026,4h,frontend,5,Vista de detalle funcional,-,S2-T017
Task,S2-T036 Página ProductoDetalle,"Crear resources/js/Pages/Tienda/ProductoDetalle.jsx con información completa del producto.",S2-HU09 Detalle de Producto,Critical,To Do,Frontend Dev,Sprint 2,30/01/2026,31/01/2026,2h,frontend,0,Vista detalle completa,Consumir GET /api/productos/{id},S2-T017
Task,S2-T037 Selector de Cantidad,"Agregar selector de cantidad y botón 'Agregar al Carrito'.",S2-HU09 Detalle de Producto,Critical,To Do,Frontend Dev,Sprint 2,30/01/2026,31/01/2026,1.5h,frontend,0,Botón agregar funcional,POST /api/carrito/items,S2-T036
Task,S2-T038 Navegación Breadcrumb,"Agregar breadcrumb de navegación en vista de detalle.",S2-HU09 Detalle de Producto,Low,To Do,Frontend Dev,Sprint 2,30/01/2026,31/01/2026,0.5h,frontend,0,Breadcrumb visible,Tienda > Categoría > Producto,S2-T036
Epic,S2-E09 Frontend Carrito,"Crear interfaz del carrito de compras.",TierOne Project,Critical,To Do,Frontend Dev,Sprint 2,26/01/2026,02/02/2026,0h,frontend,0,Todas las historias completadas,-,S2-E04
User Story,S2-HU10 Gestión del Carrito,"Como usuario, quiero ver mi carrito, modificar cantidades y proceder al checkout.",S2-E09 Frontend Carrito,Critical,To Do,Frontend Dev,Sprint 2,31/01/2026,01/02/2026,6h,frontend,8,Carrito completamente funcional,-,S2-T021
Task,S2-T039 Componente CarritoItem,"Crear resources/js/Components/Tienda/CarritoItem.jsx para item individual del carrito.",S2-HU10 Gestión del Carrito,High,To Do,Frontend Dev,Sprint 2,31/01/2026,31/01/2026,1h,frontend,0,Componente CarritoItem creado,Botones +/- y eliminar,S2-T021
Task,S2-T040 Página Carrito,"Crear resources/js/Pages/Tienda/Carrito.jsx con lista de items y resumen.",S2-HU10 Gestión del Carrito,Critical,To Do,Frontend Dev,Sprint 2,31/01/2026,31/01/2026,3h,frontend,0,Vista carrito funcional,Consumir GET /api/carrito,S2-T039
Task,S2-T041 Actualizar Cantidades,"Implementar botones +/- que actualizan cantidad vía PUT /api/carrito/items/{id}.",S2-HU10 Gestión del Carrito,Critical,To Do,Frontend Dev,Sprint 2,31/01/2026,31/01/2026,1h,frontend,0,Cantidades se actualizan,Actualizar total en tiempo real,S2-T040
Task,S2-T042 Botón Vaciar Carrito,"Agregar botón para vaciar carrito completo (DELETE /api/carrito).",S2-HU10 Gestión del Carrito,Medium,To Do,Frontend Dev,Sprint 2,31/01/2026,31/01/2026,0.5h,frontend,0,Botón vaciar funcional,Confirmar antes de vaciar,S2-T040
Task,S2-T043 Icono Carrito en Navbar,"Crear resources/js/Components/Tienda/IconoCarrito.jsx con badge de cantidad de items.",S2-HU10 Gestión del Carrito,High,To Do,Frontend Dev,Sprint 2,31/01/2026,31/01/2026,0.5h,frontend,0,Icono carrito visible,Actualizar badge dinámicamente,S2-T040
User Story,S2-HU11 Proceso de Checkout,"Como usuario, quiero completar mi compra ingresando la dirección de envío.",S2-E09 Frontend Carrito,Critical,To Do,Frontend Dev,Sprint 2,31/01/2026,01/02/2026,5h,frontend,5,Checkout funcional,-,S2-T025
Task,S2-T044 Página Checkout,"Crear resources/js/Pages/Pedidos/Checkout.jsx con formulario de dirección y resumen.",S2-HU11 Proceso de Checkout,Critical,To Do,Frontend Dev,Sprint 2,31/01/2026,01/02/2026,3h,frontend,0,Vista checkout completa,Mostrar items y total,S2-T025
Task,S2-T045 Confirmar Pedido,"Implementar botón 'Confirmar Pedido' que llama a POST /api/pedidos.",S2-HU11 Proceso de Checkout,Critical,To Do,Frontend Dev,Sprint 2,31/01/2026,01/02/2026,1.5h,frontend,0,Pedido se crea correctamente,Verificar que carrito se vacía,S2-T044
Task,S2-T046 Página Confirmación,"Crear página de confirmación tras completar el pedido exitosamente.",S2-HU11 Proceso de Checkout,Medium,To Do,Frontend Dev,Sprint 2,31/01/2026,01/02/2026,0.5h,frontend,0,Confirmación visible,Mostrar número de pedido,S2-T045
Epic,S2-E10 Frontend Pedidos,"Crear interfaz para ver pedidos del usuario.",TierOne Project,High,To Do,Frontend Dev,Sprint 2,26/01/2026,02/02/2026,0h,frontend,0,Todas las historias completadas,-,S2-E05
User Story,S2-HU12 Historial de Pedidos,"Como usuario, quiero ver mi historial de pedidos y el detalle de cada uno.",S2-E10 Frontend Pedidos,High,To Do,Frontend Dev,Sprint 2,01/02/2026,02/02/2026,4h,frontend,5,Historial de pedidos accesible,-,S2-T025
Task,S2-T047 Página MisPedidos,"Crear resources/js/Pages/Pedidos/MisPedidos.jsx con tabla de pedidos.",S2-HU12 Historial de Pedidos,High,To Do,Frontend Dev,Sprint 2,01/02/2026,01/02/2026,2h,frontend,0,Lista de pedidos visible,Consumir GET /api/pedidos,S2-T025
Task,S2-T048 Badges de Estado,"Agregar badges de colores según estado del pedido (pendiente/procesando/enviado/entregado).",S2-HU12 Historial de Pedidos,Medium,To Do,Frontend Dev,Sprint 2,01/02/2026,01/02/2026,0.5h,frontend,0,Estados visualmente claros,Colores distintos por estado,S2-T047
Task,S2-T049 Página DetallePedido,"Crear resources/js/Pages/Pedidos/DetallePedido.jsx con información completa del pedido.",S2-HU12 Historial de Pedidos,High,To Do,Frontend Dev,Sprint 2,01/02/2026,01/02/2026,1.5h,frontend,0,Vista detalle de pedido,Consumir GET /api/pedidos/{id},S2-T025
Epic,S2-E11 Frontend Admin,"Crear panel de administración para productos y pedidos.",TierOne Project,High,To Do,Frontend Dev,Sprint 2,26/01/2026,02/02/2026,0h,frontend,0,Todas las historias completadas,-,S2-E08
User Story,S2-HU13 Admin Productos,"Como administrador, quiero gestionar productos: crear, editar y eliminar.",S2-E11 Frontend Admin,High,To Do,Frontend Dev,Sprint 2,01/02/2026,02/02/2026,7h,frontend,8,Panel admin productos funcional,-,S2-T017
Task,S2-T050 Página ProductosAdmin,"Crear resources/js/Pages/Admin/ProductosAdmin.jsx con tabla de productos y acciones.",S2-HU13 Admin Productos,High,To Do,Frontend Dev,Sprint 2,01/02/2026,02/02/2026,3h,frontend,0,Vista admin productos,Botones crear/editar/eliminar,S2-T017
Task,S2-T051 Formulario ProductoForm,"Crear resources/js/Pages/Admin/ProductoForm.jsx para crear/editar productos.",S2-HU13 Admin Productos,High,To Do,Frontend Dev,Sprint 2,01/02/2026,02/02/2026,3h,frontend,0,Formulario funcional,POST para crear / PUT para editar,S2-T050
Task,S2-T052 Eliminar Producto,"Implementar botón eliminar que llama a DELETE /api/admin/productos/{id}.",S2-HU13 Admin Productos,Medium,To Do,Frontend Dev,Sprint 2,01/02/2026,02/02/2026,1h,frontend,0,Eliminar funcional,Confirmar antes de eliminar,S2-T050
User Story,S2-HU14 Admin Pedidos,"Como administrador, quiero ver todos los pedidos y actualizar sus estados.",S2-E11 Frontend Admin,High,To Do,Frontend Dev,Sprint 2,01/02/2026,02/02/2026,4h,frontend,5,Panel admin pedidos funcional,-,S2-T025
Task,S2-T053 Página PedidosAdmin,"Crear resources/js/Pages/Admin/PedidosAdmin.jsx con tabla de todos los pedidos.",S2-HU14 Admin Pedidos,High,To Do,Frontend Dev,Sprint 2,01/02/2026,02/02/2026,2h,frontend,0,Vista admin pedidos,Mostrar todos los pedidos del sistema,S2-T025
Task,S2-T054 Cambiar Estado Pedido,"Agregar selector de estado que llama a PUT /api/admin/pedidos/{id}/status.",S2-HU14 Admin Pedidos,High,To Do,Frontend Dev,Sprint 2,01/02/2026,02/02/2026,2h,frontend,0,Cambio de estado funcional,Actualizar estado en tiempo real,S2-T053
Epic,S2-E12 Rutas y Navegación,"Configurar rutas web de Inertia y navegación.",TierOne Project,High,To Do,Full Stack,Sprint 2,26/01/2026,02/02/2026,0h,fullstack,0,Todas las historias completadas,-,S2-E08
User Story,S2-HU15 Rutas Web Inertia,"Como desarrollador, quiero rutas configuradas para acceder a todas las páginas del ecommerce.",S2-E12 Rutas y Navegación,High,To Do,Full Stack,Sprint 2,30/01/2026,31/01/2026,3h,fullstack,3,Todas las rutas funcionando,-,S2-T033
Task,S2-T055 Crear TiendaController,"Crear app/Http/Controllers/TiendaController.php para renderizar vistas Inertia de la tienda.",S2-HU15 Rutas Web Inertia,High,To Do,Backend Dev,Sprint 2,30/01/2026,30/01/2026,1h,backend,0,Controller creado,Métodos para index/show/carrito/checkout,S2-T033
Task,S2-T056 Crear AdminController,"Crear app/Http/Controllers/AdminController.php para renderizar vistas Inertia del admin.",S2-HU15 Rutas Web Inertia,High,To Do,Backend Dev,Sprint 2,30/01/2026,30/01/2026,0.5h,backend,0,Controller creado,Métodos para productos/pedidos admin,S2-T050
Task,S2-T057 Definir Rutas Web,"Agregar rutas en routes/web.php para tienda, carrito, checkout, pedidos y admin.",S2-HU15 Rutas Web Inertia,High,To Do,Backend Dev,Sprint 2,30/01/2026,30/01/2026,1h,backend,0,Rutas web definidas,Proteger rutas con middleware auth/admin,"S2-T055;S2-T056"
Task,S2-T058 Actualizar Navegación,"Agregar enlaces a tienda/carrito en Navbar principal.",S2-HU15 Rutas Web Inertia,Medium,To Do,Frontend Dev,Sprint 2,30/01/2026,30/01/2026,0.5h,frontend,0,Navegación actualizada,Link visible en header,S2-T057
Epic,S2-E13 Estado Global Carrito,"Implementar context para gestión del carrito globalmente.",TierOne Project,Medium,To Do,Frontend Dev,Sprint 2,26/01/2026,02/02/2026,0h,frontend,0,Todas las historias completadas,-,S2-E09
User Story,S2-HU16 Context API Carrito,"Como frontend dev, quiero un contexto global para sincronizar el estado del carrito.",S2-E13 Estado Global Carrito,Medium,To Do,Frontend Dev,Sprint 2,31/01/2026,01/02/2026,3h,frontend,3,Contexto del carrito funcionando,-,S2-T040
Task,S2-T059 Crear CarritoContext,"Crear resources/js/Contexts/CarritoContext.jsx con provider y hook useCarrito().",S2-HU16 Context API Carrito,Medium,To Do,Frontend Dev,Sprint 2,31/01/2026,31/01/2026,2h,frontend,0,Context creado,Funciones para add/update/remove items,S2-T040
Task,S2-T060 Integrar en App,"Envolver aplicación con CarritoProvider en resources/js/app.jsx.",S2-HU16 Context API Carrito,Medium,To Do,Frontend Dev,Sprint 2,31/01/2026,31/01/2026,0.5h,frontend,0,Context disponible globalmente,-,S2-T059
Task,S2-T061 Usar Context en Componentes,"Refactorizar componentes para usar useCarrito() en lugar de fetch directo.",S2-HU16 Context API Carrito,Medium,To Do,Frontend Dev,Sprint 2,31/01/2026,31/01/2026,0.5h,frontend,0,Componentes usan contexto,Badge se actualiza automáticamente,"S2-T060;S2-T043"
Epic,S2-E14 Testing y Validación,"Probar flujos completos y verificar funcionalidad.",TierOne Project,Critical,To Do,Full Stack,Sprint 2,26/01/2026,02/02/2026,0h,testing,0,Todas las historias completadas,-,S2-E12
User Story,S2-HU17 Testing E2E Ecommerce,"Como equipo, queremos verificar que todo el flujo de ecommerce funciona correctamente.",S2-E14 Testing y Validación,Critical,To Do,Full Stack,Sprint 2,01/02/2026,02/02/2026,6h,testing,8,Flujo completo funciona sin errores,-,S2-T061
Task,S2-T062 Probar Flujo Usuario,"Probar: navegar tienda → agregar al carrito → modificar cantidades → checkout → ver pedido.",S2-HU17 Testing E2E Ecommerce,Critical,To Do,Full Stack,Sprint 2,01/02/2026,02/02/2026,2h,testing,0,Flujo usuario sin errores,Documentar bugs encontrados,S2-T061
Task,S2-T063 Verificar Actualización Stock,"Verificar que el stock se reduce correctamente al crear un pedido.",S2-HU17 Testing E2E Ecommerce,Critical,To Do,Backend Dev,Sprint 2,01/02/2026,02/02/2026,1h,testing,0,Stock se actualiza correctamente,Comprobar en MySQL,S2-T062
Task,S2-T064 Probar Flujo Admin,"Probar: crear producto → editar producto → cambiar estado de pedido.",S2-HU17 Testing E2E Ecommerce,High,To Do,Full Stack,Sprint 2,01/02/2026,02/02/2026,1.5h,testing,0,Flujo admin sin errores,-,S2-T062
Task,S2-T065 Verificar Permisos,"Verificar que usuarios no-admin no pueden acceder a rutas admin.",S2-HU17 Testing E2E Ecommerce,High,To Do,Full Stack,Sprint 2,01/02/2026,02/02/2026,0.5h,testing,0,Permisos funcionan correctamente,Probar con diferentes usuarios,S2-T062
Task,S2-T066 Testing Responsive,"Probar tienda en móvil, tablet y desktop.",S2-HU17 Testing E2E Ecommerce,Medium,To Do,Frontend Dev,Sprint 2,01/02/2026,02/02/2026,1h,testing,0,Responsive funciona bien,Grid se adapta correctamente,S2-T062
Epic,S2-E15 Mejoras Finales,"Pulir detalles y mejorar UX.",TierOne Project,Medium,To Do,Full Stack,Sprint 2,26/01/2026,02/02/2026,0h,frontend,0,Todas las historias completadas,-,S2-E14
User Story,S2-HU18 Polish y UX,"Como usuario, quiero una experiencia fluida con mensajes claros y diseño atractivo.",S2-E15 Mejoras Finales,Medium,To Do,Frontend Dev,Sprint 2,02/02/2026,02/02/2026,4h,frontend,3,Experiencia de usuario mejorada,-,S2-T066
Task,S2-T067 Mensajes de Éxito/Error,"Implementar toasts o notificaciones para acciones (producto agregado, pedido creado, etc.).",S2-HU18 Polish y UX,Medium,To Do,Frontend Dev,Sprint 2,02/02/2026,02/02/2026,2h,frontend,0,Notificaciones visibles,Usar librería como react-toastify,S2-T066
Task,S2-T068 Loading States,"Agregar spinners/skeletons mientras cargan productos o se procesan acciones.",S2-HU18 Polish y UX,Medium,To Do,Frontend Dev,Sprint 2,02/02/2026,02/02/2026,1h,frontend,0,Loading states implementados,Mejorar UX durante carga,S2-T066
Task,S2-T069 Estilos Tailwind,"Mejorar estilos con Tailwind CSS: colores consistentes, espaciado, sombras.",S2-HU18 Polish y UX,Low,To Do,Frontend Dev,Sprint 2,02/02/2026,02/02/2026,1h,frontend,0,Diseño visualmente atractivo,Seguir paleta de colores del proyecto,S2-T066
