Type       ,Summary                                    ,Description                                                                                                   ,Epic                             ,Priority ,State ,Assignee     ,Sprint   ,Estimation ,Tags     ,Story Points ,Acceptance Criteria                         ,Technical Notes                            ,Dependencies
Epic       ,S2-E00 Backend Foundation                  ,"Completar capa de backend faltante del Sprint 1. Crear modelos Eloquent, seeders y verificar autenticación." ,TierOne Project                  ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,0h         ,backend  ,           0 ,Todas las historias completadas             ,-                                          ,-
User Story ,S2-HU00 Modelos Eloquent Core              ,"Como backend dev, quiero tener los modelos Eloquent básicos para poder implementar la API."                  ,S2-E00 Backend Foundation        ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,8h         ,backend  ,           5 ,"Modelos creados con relaciones definidas"  ,-                                          ,-
Task       ,S2-T000 Crear Modelo Game                  ,"Crear app/Models/Game.php con relaciones hasMany(Tournament) y hasOne(ApiIntegration)."                      ,S2-HU00 Modelos Eloquent Core    ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,1.5h       ,backend  ,           0 ,Modelo funcionando con relaciones           ,Definir $fillable y $casts                 ,-
Task       ,S2-T001 Crear Modelo Tournament            ,"Crear app/Models/Tournament.php con relaciones y scopes (active, upcoming)."                                 ,S2-HU00 Modelos Eloquent Core    ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,Modelo funcionando con relaciones           ,Scopes para filtrado                       ,S2-T000
Task       ,S2-T002 Crear Modelo Product               ,"Crear app/Models/Product.php con relaciones a Category, Supplier y Variant."                                 ,S2-HU00 Modelos Eloquent Core    ,High     ,To Do ,Backend Dev  ,Sprint 2 ,1.5h       ,backend  ,           0 ,Modelo funcionando con relaciones           ,-                                          ,-
Task       ,S2-T003 Crear Modelo Order                 ,"Crear app/Models/Order.php con relaciones y accessor para cálculo de total."                                 ,S2-HU00 Modelos Eloquent Core    ,High     ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,Modelo funcionando con relaciones           ,Accessor getTotalAttribute()               ,-
Task       ,S2-T004 Verificar Sanctum End-to-End       ,"Crear ruta /api/test-auth protegida y verificar que login genera token válido."                              ,S2-HU00 Modelos Eloquent Core    ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,1h         ,security ,           0 ,Autenticación funcionando                   ,Documentar proceso de auth                 ,-
User Story ,S2-HU01 Seeders de Datos                   ,"Como desarrollador, quiero tener datos de prueba en la base de datos para desarrollo y testing."             ,S2-E00 Backend Foundation        ,High     ,To Do ,Backend Dev  ,Sprint 2 ,6h         ,backend  ,           3 ,"Base de datos poblada con datos de prueba" ,-                                          ,-
Task       ,S2-T005 Seeder Games                       ,"Crear GameSeeder con 5 juegos: LoL, CS:GO, Valorant, Fortnite, Dota 2."                                      ,S2-HU01 Seeders de Datos         ,High     ,To Do ,Backend Dev  ,Sprint 2 ,1.5h       ,backend  ,           0 ,5 juegos insertados en DB                   ,Incluir imágenes y slugs                   ,S2-T000
Task       ,S2-T006 Seeder Products                    ,"Crear ProductSeeder con 10 productos ejemplo (merchandising)."                                               ,S2-HU01 Seeders de Datos         ,Medium   ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,10 productos insertados                     ,Incluir variantes y precios                ,S2-T002
Task       ,S2-T007 Seeder Tournaments                 ,"Crear TournamentSeeder con 3 torneos (activo, próximo, finalizado)."                                         ,S2-HU01 Seeders de Datos         ,High     ,To Do ,Backend Dev  ,Sprint 2 ,2.5h       ,backend  ,           0 ,3 torneos insertados                        ,Relacionar con juegos del seeder           ,"S2-T001;S2-T005"
Epic       ,S2-E01 Backend: Juegos y Torneos           ,"Lógica de negocio principal para torneos gaming."                                                            ,TierOne Project                  ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,0h         ,backend  ,           0 ,Todas las historias completadas             ,-                                          ,-
User Story ,S2-HU15 Catálogo de Juegos                 ,"Como admin, quiero gestionar los juegos disponibles en la plataforma."                                       ,S2-E01 Backend: Juegos y Torneos ,Medium   ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           2 ,"API /api/games funcional"                  ,-                                          ,-
Task       ,S2-T066 API Controller Games               ,"Crear GameController con método index() que retorna lista de juegos activos."                                ,S2-HU15 Catálogo de Juegos       ,Medium   ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,GET /api/games funcional                    ,Usar GameResource                          ,"S2-T000;S2-T005"
User Story ,S2-HU16 Gestión de Torneos                 ,"Como admin, quiero crear torneos para que los usuarios compitan."                                            ,S2-E01 Backend: Juegos y Torneos ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,9h         ,backend  ,           6 ,"CRUD de torneos funcional"                 ,-                                          ,-
Task       ,S2-T068 Request Validation StoreTournament ,"Crear StoreTournamentRequest para validar datos de creación de torneo."                                      ,S2-HU16 Gestión de Torneos       ,High     ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,Validación estricta                         ,Validar fechas futuras y premios positivos ,S2-T001
Task       ,S2-T069 Controller Tournament CRUD         ,"Implementar store(), update(), destroy() en TournamentController (solo admin)."                              ,S2-HU16 Gestión de Torneos       ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,4h         ,backend  ,           0 ,CRUD funcional                              ,Middleware auth:sanctum + role:admin       ,"S2-T068;S2-T004"
Task       ,S2-T070 Controller Tournament List         ,"Implementar index() con filtros (game_id, status, search) y paginación."                                     ,S2-HU16 Gestión de Torneos       ,High     ,To Do ,Backend Dev  ,Sprint 2 ,3h         ,backend  ,           0 ,Lista con filtros funcional                 ,Paginación 15 items                        ,S2-T001
User Story ,S2-HU17 Inscripción a Torneos              ,"Como usuario, quiero unirme a un torneo antes de que se llene."                                              ,S2-E01 Backend: Juegos y Torneos ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,10h        ,backend  ,           8 ,"Inscripción atómica sin overbooking"       ,-                                          ,-
Task       ,S2-T071 Servicio CheckCupo                 ,"Crear TournamentService con método checkAvailability() para verificar plazas."                               ,S2-HU17 Inscripción a Torneos    ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,Servicio funcional                          ,Retornar available (bool) + counts         ,S2-T001
Task       ,S2-T072 Controller Join Tournament         ,"Crear método join() en TournamentController para inscripción de usuario."                                    ,S2-HU17 Inscripción a Torneos    ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,POST /api/tournaments/{id}/join funcional   ,Middleware auth:sanctum                    ,"S2-T071;S2-T004"
Task       ,S2-T073 MySQL Transaction con Lock         ,"Implementar DB transaction con lockForUpdate() para prevenir race conditions."                               ,S2-HU17 Inscripción a Torneos    ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,4h         ,backend  ,           0 ,No overbooking                              ,Usar lockForUpdate() en query              ,S2-T072
Task       ,S2-T074 Test Inscripción Concurrente       ,"Crear test PHPUnit simulando 100 inscripciones simultáneas."                                                 ,S2-HU17 Inscripción a Torneos    ,High     ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,testing  ,           0 ,Test pasando                                ,Verificar solo max_participants aceptados  ,S2-T073
Epic       ,S2-E02 Frontend: Torneos UI                ,"Interfaz visual de competición."                                                                             ,TierOne Project                  ,High     ,To Do ,Frontend Dev ,Sprint 2 ,0h         ,frontend ,           0 ,Todas las historias completadas             ,-                                          ,-
User Story ,S2-HU18 Listado de Torneos                 ,"Como usuario, quiero ver los torneos disponibles filtrados por juego."                                       ,S2-E02 Frontend: Torneos UI      ,High     ,To Do ,Frontend Dev ,Sprint 2 ,8h         ,ui       ,           5 ,"Grid navegable funcional"                  ,-                                          ,-
Task       ,S2-T075 Hook useGames                      ,"Crear hook personalizado useGames para fetch de juegos activos."                                             ,S2-HU18 Listado de Torneos       ,Medium   ,To Do ,Frontend Dev ,Sprint 2 ,1h         ,frontend ,           0 ,Hook funcional                              ,Usar axios configurado                     ,S2-T066
Task       ,S2-T076 Componente FilterBar               ,"Crear componente <FilterBar> con filtros (juego, estado, búsqueda)."                                         ,S2-HU18 Listado de Torneos       ,Medium   ,To Do ,Frontend Dev ,Sprint 2 ,3h         ,ui       ,           0 ,Filtros visuales funcionales                ,Barra lateral o superior                   ,-
Task       ,S2-T077 Página TournamentList              ,"Crear TournamentList.jsx con grid de tarjetas conectado a API."                                              ,S2-HU18 Listado de Torneos       ,High     ,To Do ,Frontend Dev ,Sprint 2 ,4h         ,ui       ,           0 ,Vista terminada y funcional                 ,Responsive design                          ,"S2-T070;S2-T075;S2-T076"
User Story ,S2-HU19 Detalle e Inscripción              ,"Como usuario, quiero ver la info del torneo y apuntarme."                                                    ,S2-E02 Frontend: Torneos UI      ,Critical ,To Do ,Frontend Dev ,Sprint 2 ,7h         ,ui       ,           5 ,"Botón Join funcional"                      ,-                                          ,-
Task       ,S2-T078 Página TournamentDetail            ,"Crear TournamentDetail.jsx con cabecera, info y lista de participantes."                                     ,S2-HU19 Detalle e Inscripción    ,High     ,To Do ,Frontend Dev ,Sprint 2 ,4h         ,ui       ,           0 ,Vista terminada                             ,Diseño según mockup                        ,S2-T070
Task       ,S2-T079 Botón Join con Estados             ,"Implementar lógica del botón Join con estados (Loading, Success, Error, Full)."                              ,S2-HU19 Detalle e Inscripción    ,Critical ,To Do ,Frontend Dev ,Sprint 2 ,2h         ,frontend ,           0 ,Lógica robusta                              ,Manejo de errores completo                 ,"S2-T072;S2-T078"
Task       ,S2-T080 Feedback Visual Toasts             ,"Implementar toasts de éxito/error al inscribirse en torneo."                                                 ,S2-HU19 Detalle e Inscripción    ,Medium   ,To Do ,Frontend Dev ,Sprint 2 ,1h         ,ui       ,           0 ,Feedback claro                              ,Usar react-hot-toast o similar             ,S2-T079
